b'(dp0\nVkey1\np1\nVvalue1\np2\nsVkey2\np3\nVvalue2\np4\ns.',b'(dp0\nVkey1\np1\nVvalue1\np2\nsVkey2\np3\nVvalue2\np4\ns.',b'(dp0\nVkey1\np1\nVvalue1\np2\nsVkey2\np3\nVvalue2\np4\ns.',2059396d1fa3b5977e7d6d389fd25b4eec65029d83c0dbff879a1da0f87ef7c0,2059396d1fa3b5977e7d6d389fd25b4eec65029d83c0dbff879a1da0f87ef7c0
b'(dp0\n.',b'(dp0\n.',b'(dp0\n.',8e452144801c40bbf1278559e870c09bfeadf68a56dbd75cc095941659b4634d,8e452144801c40bbf1278559e870c09bfeadf68a56dbd75cc095941659b4634d
b'(lp0\n.',b'(lp0\n.',b'(lp0\n.',91c9a231a5a188e4c6d11b075897454d774e325bebd389b92bec24a60c85ce8e,91c9a231a5a188e4c6d11b075897454d774e325bebd389b92bec24a60c85ce8e
b'cexceptions\nIndexError\np0\n.',b'cexceptions\nIndexError\np0\n.',b'cexceptions\nIndexError\np0\n.',52bc79f777bf545e4a415934ff5f99c8fa48bfbab891fbc449603434b0524f0d,52bc79f777bf545e4a415934ff5f99c8fa48bfbab891fbc449603434b0524f0d
b'cexceptions\nIndexError\np0\n.',b'cexceptions\nIndexError\np0\n.',b'cexceptions\nIndexError\np0\n.',52bc79f777bf545e4a415934ff5f99c8fa48bfbab891fbc449603434b0524f0d,52bc79f777bf545e4a415934ff5f99c8fa48bfbab891fbc449603434b0524f0d
b'F3.1415926535\n.',b'F3.1415926535\n.',b'F3.1415926535\n.',6ce59362ee58dd4da4f8617a165824a564780a5003014744b12dec873610f317,6ce59362ee58dd4da4f8617a165824a564780a5003014744b12dec873610f317
b'c__builtin__\npow\np0\n.',b'c__builtin__\npow\np0\n.',b'c__builtin__\npow\np0\n.',0091e384351dcc7a4e02fee6d0eb07a281f3dcfe53b09f6d5852ee4f648a112c,0091e384351dcc7a4e02fee6d0eb07a281f3dcfe53b09f6d5852ee4f648a112c
b'I42\n.',b'I42\n.',b'I42\n.',420f441051addef03c2364f1a7dee7159ad9570c06e8ea563f32f8e4ad933bd3,420f441051addef03c2364f1a7dee7159ad9570c06e8ea563f32f8e4ad933bd3
b'(lp0\nI1\naI2\naI3\naI4\naI5\na.',b'(lp0\nI1\naI2\naI3\naI4\naI5\na.',b'(lp0\nI1\naI2\naI3\naI4\naI5\na.',ebe96d74f32428ae3aeec4da7fee56f4f926e1a1d025ff23d0656872022db41f,ebe96d74f32428ae3aeec4da7fee56f4f926e1a1d025ff23d0656872022db41f
b'ccopy_reg\n_reconstructor\np0\n(c__main__\nRecursiveClass\np1\nc__builtin__\nobject\np2\nNtp3\nRp4\n(dp5\nVself\np6\ng4\nsb.',b'ccopy_reg\n_reconstructor\np0\n(c__main__\nRecursiveClass\np1\nc__builtin__\nobject\np2\nNtp3\nRp4\n(dp5\nVself\np6\ng4\nsb.',b'ccopy_reg\n_reconstructor\np0\n(c__main__\nRecursiveClass\np1\nc__builtin__\nobject\np2\nNtp3\nRp4\n(dp5\nVself\np6\ng4\nsb.',445f33d4c41b339be14b031a80b2c099febed8c6009816e25a8db52fd30ebe2d,445f33d4c41b339be14b031a80b2c099febed8c6009816e25a8db52fd30ebe2d
b'ccopy_reg\n_reconstructor\np0\n(c__main__\nSimpleClass\np1\nc__builtin__\nobject\np2\nNtp3\nRp4\n(dp5\nVvalue\np6\nI10\nsb.',b'ccopy_reg\n_reconstructor\np0\n(c__main__\nSimpleClass\np1\nc__builtin__\nobject\np2\nNtp3\nRp4\n(dp5\nVvalue\np6\nI10\nsb.',b'ccopy_reg\n_reconstructor\np0\n(c__main__\nSimpleClass\np1\nc__builtin__\nobject\np2\nNtp3\nRp4\n(dp5\nVvalue\np6\nI10\nsb.',da1400a327fa892a883fa16d3d5dc219c234c25f8ac69e768f0c1a693a40739c,da1400a327fa892a883fa16d3d5dc219c234c25f8ac69e768f0c1a693a40739c
b'VHello, World!\np0\n.',b'VHello, World!\np0\n.',b'VHello, World!\np0\n.',abea19430a8e58a8775713e1fef3cd9cfe783b5f4ace57fcc0d458db78d76d2b,abea19430a8e58a8775713e1fef3cd9cfe783b5f4ace57fcc0d458db78d76d2b
